                original          NewStemmer
796                Areas                Area
797                Seixo               Seixo
798          complements          complement
799              perfect             perfect
800          combination              combin
801                charm               charm
802          picturesque         picturesque
803                bless               bless
804                Marta               Marta
805                  SPA                 SPA
806                  one                 one
807                 best                best
808             massages             massage
809                 stay                stay
810             overcome            overcome
811         expectations              expect
812                hotel               hotel
813            fantastic             fantast
814            dedicated               dedic
815                staff               staff
816              passion             passion
817                 jobs                 job
818           experience          experience
819               repeat              repeat
820               unique              unique
821            different              differ
822                place               place
823             Congrats             Congrat
824            excellent               excel
825                 work                work
826              quality             quality
827             kindness                kind
828              improve             improve
829                  use                 use
830               Villas               Villa
831             creating              create
832           conditions              condit
833               people              people
834              reserve             reserve
835               future              future
836                 make                make
837                place               place
838                 cozy                cozy
839             relaxing               relax
840                place               place
841              special             special
842                thank               thank
843                staff               staff
844               served                serv
845               cooked                cook
846               dinner              dinner
847             Gilberto            Gilberto
848                 make                make
849                place               place
850                 cozy                cozy
851             relaxing               relax
852                place               place
853             probably              probab
854            beautiful              beauty
855                hotel               hotel
856               stayed                stay
857                  far                 far
858                loved                love
859                 view                view
860         architecture        architecture
861              concept             concept
862               people              people
863               looked                look
864              service             service
865             kindness                kind
866        unforgettable            unforget
867                Thank               Thank
868              stories               story
869                loved                love
870                 wind                wind
871                sound               sound
872              rooster             rooster
873                 Hope                Hope
874                 come                come
875                 back                back
876                  one                 one
877                  day                 day
878               family                famy
879                spent               spent
880            wonderful              wonder
881                 days                 day
882              company             company
883                sound               sound
884                  sea                 sea
885                 fire                fire
886            fireplace           fireplace
887              Special             Special
888            beautiful              beauty
889              moments              moment
890                total               total
891                 rest                rest
892                 full                full
893              symbols              symbol
894              special             special
895              touches               touch
896                makes                make
897                 feel                feel
898                 calm                calm
899               serene              serene
900         personalized              person
901            treatment           treatment
902              details              detail
903                taken                take
904                 next                next
905                level               level
906                 feel                feel
907                place               place
908                 home                home
909               belong              belong
910                 feel                feel
911                alive               alive
912                loved                love
913            Beautiful              Beauty
914                 cozy                cozy
915             romantic            romantic
916            brilliant           brilliant
917              special             special
918                tasty               tasty
