                original          NewStemmer
1963              return              return
1964                 one                 one
1965                 day                 day
1966                will                will
1967               dream               dream
1968                time                time
1969               spent               spent
1970               hotel               hotel
1971               magic               magic
1972                 One                 One
1973                best                best
1974              places               place
1975            Gorgeous            Gorgeous
1976        architecture        architecture
1977           beautiful              beauty
1978                dcor                dcor
1979                 lot                 lot
1980          surprising            surprise
1981             details              detail
1982               loved                love
1983                will                will
1984                sure                sure
1985                come                come
1986                back                back
1987           Excellent           Excellent
1988              dinner              dinner
1989     Congratulations           Congratul
1990                Chef                Chef
1991            Leonardo            Leonardo
1992               staff               staff
1993               loved                love
1994              garden               garde
1995        Architecture        Architecture
1996                dcor                dcor
1997         gorgeousthe         gorgeousthe
1998                best                best
1999             success             success
2000                 see                 see
2001                soon                soon
2002                will                will
2003                back                back
2004              really              really
2005                soon                soon
2006                love                love
2007           everybody           everybody
2008                 new                 new
2009                team                team
2010                Keep                Keep
2011               going                  go
2012                 way                 way
2013           wonderful              wonder
2014               place               place
2015                come                come
2016                back                back
2017               loved                love
2018          experience          experience
2019                life                life
2020               enjoy               enjoy
2021                 See                 See
2022                soon                soon
2023           Fantastic           Fantastic
2024                food                food
2025                want                want
2026               leave               leave
2027                stay                stay
2028             forever             forever
2029               Thank               Thank
2030              beauty              beauty
2031              lovely              lovely
2032               staff               staff
2033                 See                 See
2034                next                next
2035                year                year
2036                best                best
2037               thing               thing
2038               staff               staff
2039                kind                kind
2040        professional          profession
2041               young               young
2042                Next                Next
2043                life                life
2044                love                love
2045                work                work
2046           fantastic             fantast
2047               place               place
2048                also                also
2049             amazing               amaze
2050                meet                meet
2051                team                team
2052                 new                 new
2053             cooking                cook
2054                team                team
2055              really              really
2056                nice                nice
2057                 bit                 bit
2058                 shy                 shy
2059                soon                soon
2060                talk                talk
2061               smile               smile
2062                life                life
2063                love                love
2064            jobwhich            jobwhich
2065               great               great
2066              wanted                want
2067                 let                 let
2068             wedding                 wed
2069                pass                pass
2070               thank               thank
2071                much                much
2072                stay                stay
2073             nothing                noth
2074                left                left
2075            chanceno            chanceno
2076              doubta              doubta
2077               dream               dream
2078                come                come
2079                true                true
2080             Perfect             Perfect
2081          Especially          Especially
2082                huge                huge
2083            surprise            surprise
2084                last                last
2085               night               night
2086              really              really
2087           surprised            surprise
2088                told                told
2089                room                room
2090           available               avail
2091           Stephanie           Stephanie
2092                even                 eve
2093              almost              almost
2094               burst               burst
2095               tears                tear
2096              deeply              deeply
2097             touched               touch
2098              youand              youand
2099                kind                kind
2100              lovely              lovely
2101           attention           attention
2102             present             present
2103           fantastic             fantast
2104               stays                stay
2105              memory              memory
2106           beautiful              beauty
2107       extraordinary       extraordinary
2108              people              people
2109               hotel               hotel
2110             magical               magic
2111                None                None
2112                copy                copy
2113                able                able
2114                make                make
2115          difference              differ
2116            Gonfalon            Gonfalon
2117             boardWe             boardWe
2118                said                 say
2119                  go                  go
2120                 one                 one
2121               place               place
2122               world               world
2123                 one                 one
2124                time                time
2125                made                make
2126                 lie                 lie
2127                 Now                 Now
2128              really              really
2129                feel                feel
2130                home                home
2131               Areas                Area
2132                good                good
2133     Congratulations           Congratul
2134              Thanks               Thank
2135              thanks               thank
2136                dice                dice
2137                food                food
2138                 top                 top
2139                Hope                Hope
2140                come                come
2141                back                back
2142                soon                soon
2143                wait                wait
2144             married              marrie
2145              matter              matter
2146                time                time
2147               ready               ready
2148                love                love
2149            gorgeous            gorgeous
2150                dcor                dcor
2151             amazing               amaze
2152               staff               staff
2153                will                will
2154                come                come
2155                back                back
2156                sure                sure
2157                 see                 see
2158                soon                soon
2159               Great               Great
2160            location              locate
2161           excellent               excel
2162                food                food
2163                kind                kind
2164               young               young
2165        professional          profession
2166               staff               staff
2167            paradise            paradise
2168             perfect             perfect
2169             amazing               amaze
2170                must                must
2171                 try                 try
2172               least               least
2173                life                life
2174              dinner              dinner
2175               watch               watch
2176               chefs                chef
2177             cooking                cook
2178              dishes                dish
2179           Fantastic           Fantastic
2180          experience          experience
2181           Excellent           Excellent
2182              dinner              dinner
2183           breakfast           breakfast
2184           Fantastic           Fantastic
2185               hotel               hotel
2186               great               great
2187             service             service
2188                nice                nice
2189               stars                star
2190               Great               Great
2191           selection              select
2192               fresh               fresh
2193               fruit               fruit
2194               local               local
2195            products             product
2196               fresh               fresh
2197               baked                bake
2198              treats               treat
2199              cooked                cook
2200              dishes                dish
2201             Dinners              Dinner
2202              cooked                cook
2203                open                open
2204             kitchen              kitche
2205               using                 use
2206             locally             locally
2207             sourced               sourc
2208                food                food
2209           including              includ
2210                herb                herb
2211           vegetable               veget
2212              garden               garde
2213                site                site
2214            Stunning                Stun
2215               views                view
2216              Unique              Unique
2217             seaside             seaside
2218        architecture        architecture
2219               Staff               Staff
2220            friendly            friendly
2221           welcoming              welcom
2222               villa               villa
2223            included             include
2224           breakfast           breakfast
2225              stayed                stay
2226                many                many
2227               Coned                 Con
2228                Nast                Nast
2229         recommended           recommend
2230          properties            property
2231             perhaps              perhap
2232              nicest                 nic
2233              unique              unique
2234                date                date
2235                food                food
2236           wonderful              wonder
2237     environmentyour     environmentyour
2238              garden               garde
2239             special             special
2240     Congratulations           Congratul
2241               thank               thank
2242               First               First
2243                 big                 big
2244               thank               thank
2245             harmful                harm
2246        professional          profession
2247                 way                 way
2248            received              receiv
2249           yesterday           yesterday
2250          journalist          journalist
2251             Michael             Michael
2252             Winkler             Winkler
2253           surrender           surrender
2254               hotel               hotel
2255             concept             concept
2256            traveled             travele
2257          journalist          journalist
2258           travelled              travel
2259               world               world
2260               lived                live
2261                many                many
2262               years                year
2263             Germany             Germany
2264                also                also
2265           southwest              southw
2266                Asia                Asia
2267               Thank               Thank
2268           attention           attention
2269                nice                nice
2270                 day                 day
2271             amazing               amaze
2272     Congratulations           Congratul
2273                glad                glad
2274                stay                stay
2275               hotel               hotel
2276                feel                feel
2277         comfortable             comfort
2278               great               great
2279             timeOur             timeOur
2280                room                room
2281                nice                nice
2282            bathroom            bathroom
2283             perfect             perfect
2284               liked                like
2285                nice                nice
2286  bathroomsLandscape  bathroomsLandscape
2287                room                room
2288           beautiful              beauty
2289            tasteful               taste
2290                full                full
2291             details              detail
2292              marvel              marvel
2293               place               place
2294                also                also
2295                feel                feel
2296                  go                  go
2297           Fantastic           Fantastic
2298           equipment               equip
2299               Thank               Thank
2300           Breakfast           Breakfast
2301             amazing               amaze
2302        surroundings            surround
2303                full                full
2304             romance             romance
2305        Architecture        Architecture
2306                dcor                dcor
2307           extremely             extreme
2308            tasteful               taste
2309               thank               thank
2310               staff               staff
2311                 way                 way
2312             receive             receive
2313             Sublime             Sublime
2314               every               every
2315              detail              detail
2316     Congratulations           Congratul
2317           preferred              prefer
2318                test                test
2319              little              little
2320             address             address
2321              Miguel              Miguel
2322             advised              advise
2323              wellBe              wellBe
2324                sure                sure
2325                glad                glad
2326                talk                talk
2327               Areas                Area
2328               Seixo               Seixo
2329             clients              client
2330               doubt               doubt
2331                Kind                Kind
2332             regards              regard
2333                dcor                dcor
2334             amazing               amaze
2335           reception              recept
2336          restaurant          restaurant
2337              little              little
2338             touches               touch
2339             perfect             perfect
2340          ecological            ecologic
2341               hotel               hotel
2342              lounge              lounge
2343            ethnical              ethnic
2344          influences           influence
2345               taste               taste
2346               quiet               quiet
2347             relaxed              relaxe
2348          atmosphere          atmosphere
2349             quickly               quick
2350                feel                feel
2351                home                home
2352               thank               thank
2353           attention           attention
2354                care                care
2355            received              receiv
2356             weekend             weekend
2357                nice                nice
2358            relaxing               relax
2359                rest                rest
2360                days                 day
2361           wonderful              wonder
2362               Thank               Thank
2363       extraordinary       extraordinary
2364            vacation                vace
2365               lives                 lif
2366               hotel               hotel
2367             perfect             perfect
2368                room                room
2369         environment         environment
2370                food                food
2371               staff               staff
2372         exceptional              except
2373                hope                hope
2374              return              return
2375                 one                 one
2376                 day                 day
2377                will                will
2378               dream               dream
2379                time                time
2380               spent               spent
2381               hotel               hotel
2382               magic               magic
2383                fact                fact
2384           beautiful              beauty
2385               clean               clean
2386              worthy              worthy
2387               stars                star
2388           Fantastic           Fantastic
2389         environment         environment
2390                nice                nice
2391           welcoming              welcom
2392               staff               staff
2393                Nice                Nice
2394           different              differ
2395             concept             concept
2396             opinion             opinion
2397               think               think
2398              change              change
2399          restaurant          restaurant
2400                food                food
2401          Portuguese          Portuguese
2402                food                food
2403                good                good
2404                also                also
2405             foreign             foreign
2406              people              people
2407                love                love
2408          Portuguese          Portuguese
2409                food                food
2410                show                show
2411             country             country
2412                best                best
2413             promote             promote
2414                Beds                Beed
2415                soft                soft
2416            mattress            mattress
2417                 bad                 bad
2418              people              people
2419                back                back
2420                pain                pain
2421                mini                miny
2422                 bar                 bar
2423              bottle              bottle
2424               water               water
2425                also                also
2426               taken                take
2427             account             account
2428                Last                Last
2429               least               least
2430                chef                chef
2431               Oscar               Oscar
2432             Pereira             Pereira
2433                team                team
2434             delight             delight
2435               fresh               fresh
2436               tasty               tasty
2437            products             product
2438          vegetarian          vegetarian
2439              dishes                dish
2440                made                make
2441          vegetables               veget
2442           collected             collect
2443              hotels               hotel
2444              garden               garde
2445         encouraging            encourag
2446              anyone              anyone
2447              become              become
2448          vegetarian          vegetarian
2449              second              second
2450                trip                trip
2451               Areas                Area
2452               Seixo               Seixo
2453               first               first
2454                 one                 one
2455               April               April
2456                fact                fact
2457              beauty              beauty
2458              unique              unique
2459          atmosphere          atmosphere
2460               charm               charm
2461            intimate               intim
2462               hotel               hotel
2463                also                also
2464        surroundings            surround
2465           described            describe
2466               words                word
2467            lyricsIn            lyricsIn
2468                fact                fact
2469               lived                live
2470              unique              unique
2471          experience          experience
2472                take                take
2473                time                time
2474         contemplate            contempl
2475               place               place
2476             special             special
2477                kind                kind
2478        breathtaking           breathtak
2479       beautyThrough       beautyThrough
2480                iron                iron
2481               metal               metal
2482           driftwood           driftwood
2483                 raw                 raw
2484            concrete            concrete
2485            polished              polish
2486            concrete            concrete
2487            tedelakt            tedelakt
2488               marry               marry
2489           perfectly             perfect
2490              ethnic              ethnic
2491                dcor                dcor
2492                also                also
2493             creates              create
2494            universe            universe
2495          atmosphere          atmosphere
2496   forgottenMajestic     forgottenMajest
2497              bright              bright
2498           luxurious              luxury
2499                rare                rare
2500              subtle              subtle
2501            original              origin
2502        dcorFriendly          dcorFriend
2503                cool                cool
2504      staffExcellent          staffExcel
2505           breakfast           breakfast
2506             special             special
2507             mention             mention
2508             pasties               pasty
2509                  de                  de
2510                anta                anta
2511              detail              detail
2512           affection              affect
2513            careness                care
2514             special             special
2515            handling               handl
2516               loved                love
2517                want                want
2518                come                come
2519                back                back
2520              Lounge              Lounge
2521                cozy                cozy
2522                 bar                 bar
2523           beautiful              beauty
2524           fireplace           fireplace
2525          suspending             suspend
2526           welcoming              welcom
2527                cozy                cozy
2528             dinning                 din
2529                room                room
2530                time                time
2531           difficult           difficult
2532               leave               leave
2533             magical               magic
2534               place               place
2535              Thanks               Thank
2536               Marta               Marta
2537            Gonfalon            Gonfalon
2538                team                team
2539                will                will
2540                 see                 see
2541                soon                soon
2542                  Go                  Go
2543               least               least
2544             several               sever
2545                days                 day
2546               enjoy               enjoy
2547              unique              unique
2548       unforgettable            unforget
2549          experience          experience
2550                will                will
2551                come                come
2552                back                back
2553                soon                soon
2554               Areas                Area
2555               Seixo               Seixo
2556                love                love
2557                love                love
2558                will                will
2559                back                back
2560              really              really
2561                soon                soon
2562                love                love
2563           everybody           everybody
2564                 new                 new
2565                team                team
2566                Keep                Keep
2567               going                  go
2568                 way                 way
2569               place               place
2570                feel                feel
2571        feelholdings            feelhold
2572               hands                hand
2573                life                life
2574               enjoy               enjoy
2575                 See                 See
2576                soon                soon
2577               place               place
2578            remember            remember
2579           recommend           recommend
2580                Food                Food
2581           excellent               excel
2582             Amazing               Amaze
2583               place               place
2584                best                best
2585               thing               thing
2586               staff               staff
2587                kind                kind
2588        professional          profession
2589               young               young
2590                Next                Next
2591                life                life
2592                love                love
2593                work                work
2594           fantastic             fantast
2595               place               place
2596             special             special
2597               place               place
2598            kindness                kind
2599             service             service
2600            constant            constant
2601           Fantastic           Fantastic
2602                dcor                dcor
2603             nothing                noth
2604                left                left
2605            chanceno            chanceno
2606              doubta              doubta
2607               dream               dream
2608                come                come
2609                true                true
2610             Perfect             Perfect
2611               light               light
2612           beautiful              beauty
2613           essential              essent
2614              Luxury              Luxury
2615               soula               soula
2616            portrait            portrait
2617               stays                stay
2618              memory              memory
2619           wonderful              wonder
2620              people              people
2621           wonderful              wonder
2622             weather             weather
2623               Thank               Thank
2624            charming               charm
2625               place               place
2626           fantastic             fantast
2627               stays                stay
2628              memory              memory
2629           beautiful              beauty
2630             Special             Special
2631               every               every
2632                 way                 way
2633               Thank               Thank
2634                good                good
2635     Congratulations           Congratul
2636     Congratulations           Congratul
2637               stars                star
2638        Architecture        Architecture
2639                dice                dice
2640                food                food
2641                 top                 top
2642                Hope                Hope
2643                come                come
2644                back                back
2645                soon                soon
2646           Delicious              Delicy
2647                food                food
2648           Excellent           Excellent
2649               hotel               hotel
2650            friendly            friendly
2651               staff               staff
2652               Thank               Thank
2653                much                much
2654               loved                love
2655           Fantastic           Fantastic
2656               place               place
2657            gorgeous            gorgeous
2658                dcor                dcor
2659             amazing               amaze
2660               staff               staff
2661                will                will
2662                come                come
2663                back                back
2664                sure                sure
2665               loved                love
2666               place               place
2667         surrounding            surround
2668                good                good
2669            feelings                feel
2670            energies              energy
2671               carry               carry
2672                soon                soon
2673              enough              enough
2674                will                will
2675               carry               carry
2676                team                team
2677           excellent               excel
2678                work                work
2679            Congrats             Congrat
2680                good                good
2681               watch               watch
2682                kind                kind
2683            projects             project
2684         implemented           implement
2685            Portugal              Portug
2686           reinforce           reinforce
2687           character           character
2688            strength            strength
2689     Congratulations           Congratul
2690                envy                envy
2691            multiple            multiple
2692               Areas                Area
2693               Seixo               Seixo
2694               Since               Since
2695        architecture        architecture
2696           fireplace           fireplace
2697                till                till
2698                huge                huge
2699           skylights            skylight
2700                room                room
2701              brings               bring
2702             maximum             maximum
2703             comfort             comfort
2704           Fantastic           Fantastic
2705                stay                stay
2706                food                food
2707           wonderful              wonder
2708     environmentyour     environmentyour
2709              garden               garde
2710             special             special
2711     Congratulations           Congratul
2712               thank               thank
2713        surroundings            surround
2714                full                full
2715              nature              nature
2716               bossa               bossa
2717                nova                nova
2718             session             session
2719              garden               garde
2720           pampering              pamper
2721             cookies               cooky
2722                home                home
2723              madeit              madeit
2724               great               great
2725            Exceeded              Exceed
2726        expectations              expect
2727             amazing               amaze
2728     Congratulations           Congratul
2729          restaurant          restaurant
2730           diversity           diversity
2731         considering            consider
2732              dishes                dish
2733             offered               offer
2734              dishes                dish
2735         alternative              altern
2736              Miguel              Miguel
2737                 ate                 ate
2738             matured               matur
2739                meat                meat
2740                meat                meat
2741               tough               tough
2742              failed                fail
2743              finish              finish
2744                dish                dish
2745           Fantastic           Fantastic
2746             project             project
2747              entire              entire
2748                team                team
2749              Thanks               Thank
2750            building               build
2751               place               place
2752             country             country
2753                will                will
2754                come                come
2755                back                back
2756                soon                soon
2757              enough              enough
2758           delicious           delicious
2759                food                food
2760             amazing               amaze
2761               rooms                room
2762               whole               whole
2763              nature              nature
2764         environment         environment
2765                also                also
2766                calm                calm
2767           beautiful              beauty
2768          experience          experience
2769               thing               thing
2770          definitely            definite
2771               needs                need
2772            improved             improve
2773           extremely             extreme
2774                slow                slow
2775                WiFi                WiFy
2776             website             website
2777               never               never
2778               loads                load
2779              became              become
2780           stressful              stress
2781           situation             situate
2782               think               think
2783             totally             totally
2784         unnecessary         unnecessary
2785               Today               Today
2786              expect              expect
2787                work                work
2788                fine                fine
2789               small               small
2790               Navio               Navio
2791          restaurant          restaurant
2792                even                 eve
2793              better              better
2794          connection             connect
2795          understood          understood
2796                able                able
2797                 use                 use
2798                 one                 one
2799           computers            computer
2800           reception              recept
2801                also                also
2802             another             another
2803              faster              faster
2804          connection             connect
2805              stayed                stay
2806               loved                love
2807               Thank               Thank
2808            kindness                kind
2809             amazing               amaze
2810           beautiful              beauty
2811               place               place
2812            tasteful               taste
2813                full                full
2814             details              detail
2815              marvel              marvel
2816               place               place
2817                also                also
2818                feel                feel
2819                  go                  go
2820           Fantastic           Fantastic
2821           equipment               equip
2822               Thank               Thank
2823               Areas                Area
2824           Seixowhat           Seixowhat
2825            heavenly               heave
2826               place               place
2827        surroundings            surround
2828                full                full
2829             romance             romance
2830        Architecture        Architecture
2831                dcor                dcor
2832           extremely             extreme
2833            tasteful               taste
2834               thank               thank
2835               staff               staff
2836                 way                 way
2837             receive             receive
2838             Sublime             Sublime
2839               every               every
2840              detail              detail
2841     Congratulations           Congratul
2842              better              better
2843           beautiful              beauty
2844               every               every
2845                time                time
2846                made                make
2847               wifes                wife
2848                  th                  th
2849            birthday            birthday
2850               party               party
2851                 one                 one
2852                best                best
2853           beautiful              beauty
2854             parties               party
2855            attended              attend
2856          Absolutely            Absolute
2857             amazing               amaze
2858               loved                love
2859                will                will
2860                come                come
2861                back                back
2862               Thank               Thank
2863               found               found
2864             magical               magic
2865               place               place
2866             wedding                 wed
2867               night               night
2868             amazing               amaze
2869             already             already
2870                knew                knew
2871               place               place
2872          experience          experience
2873              repeat              repeat
2874               doubt               doubt
2875                Much                Much
2876             perfect             perfect
2877               Thank               Thank
2878                team                team
2879             special             special
2880               place               place
2881           celebrate           celebrate
2882             special             special
2883                 day                 day
2884             perfect             perfect
2885              person              person
2886                Hope                Hope
2887                next                next
2888                year                year
2889                come                come
2890                back                back
2891                Wine                Wine
2892          experience          experience
2893           wonderful              wonder
2894            Focusing              Focuse
2895                room                room
2896                fact                fact
2897           beautiful              beauty
2898               clean               clean
2899              worthy              worthy
2900               stars                star
2901           Fantastic           Fantastic
2902         environment         environment
2903                nice                nice
2904           welcoming              welcom
2905               staff               staff
2906                Nice                Nice
2907           different              differ
2908             concept             concept
2909             opinion             opinion
2910               think               think
2911              change              change
2912          restaurant          restaurant
2913                food                food
2914          Portuguese          Portuguese
2915                food                food
2916                good                good
2917                also                also
2918             foreign             foreign
2919              people              people
2920                love                love
2921          Portuguese          Portuguese
2922                food                food
2923                show                show
2924             country             country
2925                best                best
2926             promote             promote
2927                Beds                Beed
2928                soft                soft
2929            mattress            mattress
2930                 bad                 bad
2931              people              people
2932                back                back
2933                pain                pain
2934                mini                miny
2935                 bar                 bar
2936              bottle              bottle
2937               water               water
2938                also                also
2939               taken                take
2940             account             account
2941                lake                lake
